index,name,label,description,description_nice
60,chi2_hno3,CHI2 HNO3,obs-cal residual for hno3 retrieval,Obs-Cal Residual For Hno3 Retrieval
61,chi2_so2,CHI2 SO2,obs-cal residual for so2 retrieval,Obs-Cal Residual For So2 Retrieval
62,chi2amsu,CHI2AMSU,obs-cal residual for AMSU retrieval,Obs-Cal Residual For Amsu Retrieval
63,empty_63,EMPTY 63,empty,Empty
64,chi2surf,CHI2SURF,obs-cal residual for surface retrieval,Obs-Cal Residual For Surface Retrieval
65,dof_amsu,DOF AMSU,degrees of freedom in AMSU step,Degrees Of Freedom In Amsu Step
66,dof_mhs,DOF MHS,degrees of freedom in MHS step,Degrees Of Freedom In Mhs Step
67,dof_cld,DOF CLD,degrees of freedom in cloud step,Degrees Of Freedom In Cloud Step
68,dof_surf,DOF SURF,degrees of freedom in surface step,Degrees Of Freedom In Surface Step
69,dof_temp,DOF Temperature,degrees of freedom in temperature step,Degrees Of Freedom In Temperature Step
70,dof_watr,DOF Water Vapor,degrees of freedom in water vapor step,Degrees Of Freedom In Water Vapor Step
71,dof_o3,DOF O3,degrees of freedom in o3 step,Degrees Of Freedom In O3 Step
72,dof_co2,DOF CO2,degrees of freedom in co2 step,Degrees Of Freedom In Co2 Step
73,dof_ch4,DOF CH4,degrees of freedom in ch4 step,Degrees Of Freedom In Ch4 Step
74,dof_co,DOF CO,degrees of freedom in co step,Degrees Of Freedom In Co Step
75,dof_n2o,DOF N2O,degrees of freedom in n2o step,Degrees Of Freedom In N2O Step
76,dof_hno3,DOF HNO3,degrees of freedom in hno3 step,Degrees Of Freedom In Hno3 Step
77,dof_so2,DOF SO2,degrees of freedom in so2 step,Degrees Of Freedom In So2 Step
78,ak_11,AK 11,fovret_ak(1 1),Fovret_Ak(1 1)
79,ak_12,AK 12,fovret_ak(1 2),Fovret_Ak(1 2)
80,ak_21,AK 21,fovret_ak(2 1),Fovret_Ak(2 1)
81,ak_22,AK 22,fovret_ak(2 2),Fovret_Ak(2 2)
82,iis_qa_params_1,IIS QA PARAMS 1,warmest 5% on IASI FOV,Warmest 5% On Iasi Fov
83,iis_qa_params_2,IIS QA PARAMS 2,contrast of IIS on all IASI FOVs,Contrast Of Iis On All Iasi Fovs
84,iis_qa_params_3,IIS QA PARAMS 3,warmest of all IIS pixels,Warmest Of All Iis Pixels
85,iis_qa_params_4,IIS QA PARAMS 4,warmest on IASI FOVs,Warmest On Iasi Fovs
86,iis_qa_params_5,IIS QA PARAMS 5,dang.dist fov 1,Dang.Dist Fov 1
87,iis_qa_params_6,IIS QA PARAMS 6,dang.dist fov 2,Dang.Dist Fov 2
88,iis_qa_params_7,IIS QA PARAMS 7,dang.dist fov 3,Dang.Dist Fov 3
89,iis_qa_params_8,IIS QA PARAMS 8,dang.dist fov 4,Dang.Dist Fov 4
90,iis_qa_params_9,IIS QA PARAMS 9,CCR on IIS SRF - iis_qa(3),Ccr On Iis Srf - Iis_Qa(3)
91,iis_qa_params_10,IIS QA PARAMS 10,CCR on IIS SRF - iis_qa(4),Ccr On Iis Srf - Iis_Qa(4)
